Datetime,NNSW SOLAR,TAS SOLAR,SQ WIND,GG SOLAR,VIC SOLAR,CNQ WIND,SNSW SOLAR,VIC WIND,SNW WIND,TAS WIND,CNSW SOLAR,NNSW WIND,SNSW WIND,SNW SOLAR,SA SOLAR,SQ SOLAR,SA WIND,CNQ SOLAR,GG WIND,CNSW WIND
1/01/1930 0:00,0,0,0.678,0,0,0.159,0,0.438,0.792,0.094,0,0.927,0.907,0,0,0,0.578,0,0.022,0.926
1/01/1930 1:00,0,0,0.659,0,0,0.087,0,0.389,0.766,0.085,0,0.932,0.82,0,0,0,0.548,0,0.018,0.932
1/01/1930 2:00,0,0,0.599,0,0,0.033,0,0.495,0.735,0.065,0,0.93,0.663,0,0,0,0.704,0,0.005,0.889
1/01/1930 3:00,0,0,0.578,0,0,0.005,0,0.522,0.716,0.041,0,0.916,0.609,0,0,0,0.586,0,0.012,0.927
1/01/1930 4:00,0,0,0.592,0,0,0.003,0,0.567,0.673,0.027,0,0.917,0.481,0,0,0,0.578,0,0.074,0.922
1/01/1930 5:00,0.036,0.076,0.539,0,0.037,0.002,0.019,0.76,0.681,0.017,0.019,0.91,0.488,0.011,0.002,0.039,0.644,0,0.199,0.917
1/01/1930 6:00,0.287,0.143,0.477,0.195,0.337,0,0.134,0.813,0.565,0.034,0.103,0.917,0.439,0.033,0.256,0.342,0.66,0.016,0.238,0.896
1/01/1930 7:00,0.636,0.278,0.428,0.239,0.769,0.007,0.435,0.831,0.605,0.04,0.155,0.894,0.398,0.151,0.719,0.51,0.505,0.034,0.195,0.87
1/01/1930 8:00,0.779,0.465,0.375,0.481,0.819,0.006,0.516,0.863,0.581,0.048,0.14,0.87,0.348,0.437,0.868,0.473,0.373,0.144,0.149,0.77
1/01/1930 9:00,0.844,0.52,0.334,0.604,0.899,0.003,0.604,0.868,0.533,0.179,0.169,0.783,0.274,0.903,1,0.46,0.288,0.26,0.113,0.718
1/01/1930 10:00,0.86,0.719,0.061,0.599,0.921,0.002,0.825,0.25,0.127,0.063,0.178,0.195,0.096,0.954,0.985,0.548,0.037,0.372,0.008,0.309
1/01/1930 11:00,0.781,0.83,0.109,0.787,0.759,0.007,0.832,0.557,0.154,0.152,0.189,0.409,0.172,0.725,1,0.641,0.075,0.558,0.019,0.459
1/01/1930 12:00,0.777,0.796,0.171,0.552,0.677,0.007,0.711,0.583,0.223,0.154,0.247,0.416,0.326,0.34,0.995,0.594,0.107,0.567,0.02,0.468
1/01/1930 13:00,0.541,0.857,0.229,0.464,0.828,0.031,0.698,0.438,0.241,0.131,0.31,0.361,0.294,0.586,0.876,0.735,0.128,0.503,0.022,0.649
1/01/1930 14:00,0.464,0.814,0.282,0.803,0.767,0.074,0.633,0.257,0.266,0.165,0.376,0.469,0.279,0.935,0.829,0.785,0.182,0.565,0.022,0.793
1/01/1930 15:00,0.454,0.558,0.25,0.61,0.831,0.112,0.36,0.221,0.351,0.193,0.442,0.759,0.25,0.941,0.81,0.568,0.211,0.632,0.09,0.846
1/01/1930 16:00,0.489,0.227,0.337,0.315,0.352,0.16,0.209,0.149,0.565,0.28,0.368,0.841,0.237,0.414,0.646,0.553,0.19,0.594,0.114,0.846
1/01/1930 17:00,0.12,0.067,0.395,0.054,0.048,0.156,0.23,0.242,0.733,0.416,0.194,0.897,0.208,0.72,0.404,0.303,0.157,0.186,0.159,0.848
