Datetime,NEM NNSW SOLAR,NEM TAS SOLAR,NEM SQ WIND,NEM GG SOLAR,NEM VIC SOLAR,NEM CNQ WIND,NEM SNSW SOLAR,NEM VIC WIND,NEM SNW WIND,NEM TAS WIND,NEM CNSW SOLAR,NEM NNSW WIND,NEM SNSW WIND,NEM SNW SOLAR,NEM SA SOLAR,NEM SQ SOLAR,NEM SA WIND,NEM CNQ SOLAR,NEM GG WIND,NEM CNSW WIND,C&I NNSW SOLAR,C&I TAS SOLAR,C&I SQ WIND,C&I GG SOLAR,C&I VIC SOLAR,C&I CNQ WIND,C&I SNSW SOLAR,C&I VIC WIND,C&I SNW WIND,C&I TAS WIND,C&I CNSW SOLAR,C&I NNSW WIND,C&I SNSW WIND,C&I SNW SOLAR,C&I SA SOLAR,C&I SQ SOLAR,C&I SA WIND,C&I CNQ SOLAR,C&I GG WIND,C&I CNSW WIND
21/1/30 0:00,0,0,0.354,0,0,0.434,0,0.35,0.233,0.965,0,0.787,0.482,0,0,0,0.794,0,0.197,0.506,0,0,0.354,0,0,0.434,0,0.35,0.233,0.965,0,0.787,0.482,0,0,0,0.794,0,0.197,0.506
21/1/30 1:00,0,0,0.103,0,0,0.294,0,0.385,0.159,0.964,0,0.524,0.488,0,0,0,0.851,0,0.171,0.287,0,0,0.103,0,0,0.294,0,0.385,0.159,0.964,0,0.524,0.488,0,0,0,0.851,0,0.171,0.287
21/1/30 2:00,0,0,0.396,0,0,0.187,0,0.376,0.11,0.959,0,0.156,0.442,0,0,0,0.883,0,0.188,0.298,0,0,0.396,0,0,0.187,0,0.376,0.11,0.959,0,0.156,0.442,0,0,0,0.883,0,0.188,0.298
21/1/30 3:00,0,0,0.473,0,0,0.16,0,0.393,0.114,0.957,0,0.008,0.434,0,0,0,0.853,0,0.297,0.202,0,0,0.473,0,0,0.16,0,0.393,0.114,0.957,0,0.008,0.434,0,0,0,0.853,0,0.297,0.202
21/1/30 4:00,0,0,0.549,0,0,0.201,0,0.393,0.164,0.93,0,0.019,0.367,0,0,0,0.791,0,0.329,0.199,0,0,0.549,0,0,0.201,0,0.393,0.164,0.93,0,0.019,0.367,0,0,0,0.791,0,0.329,0.199
21/1/30 5:00,0.005,0.034,0.669,0,0.015,0.226,0.016,0.428,0.184,0.93,0.032,0.045,0.344,0.044,0,0.024,0.693,0,0.274,0.154,0.005,0.034,0.669,0,0.015,0.226,0.016,0.428,0.184,0.93,0.032,0.045,0.344,0.044,0,0.024,0.693,0,0.274,0.154
21/1/30 6:00,0.037,0.183,0.526,0.057,0.068,0.225,0.341,0.398,0.115,0.948,0.361,0.042,0.228,0.447,0.223,0.225,0.651,0.018,0.24,0.053,0.037,0.183,0.526,0.057,0.068,0.225,0.341,0.398,0.115,0.948,0.361,0.042,0.228,0.447,0.223,0.225,0.651,0.018,0.24,0.053
21/1/30 7:00,0.111,0.176,0.285,0.633,0.138,0.231,0.893,0.397,0.047,0.922,0.861,0.107,0.082,0.964,0.708,0.449,0.462,0.065,0.239,0.014,0.111,0.176,0.285,0.633,0.138,0.231,0.893,0.397,0.047,0.922,0.861,0.107,0.082,0.964,0.708,0.449,0.462,0.065,0.239,0.014
21/1/30 8:00,0.157,0.283,0.151,0.901,0.384,0.243,1,0.342,0.085,0.948,0.999,0.076,0.032,1,0.997,0.707,0.322,0.097,0.224,0.031,0.157,0.283,0.151,0.901,0.384,0.243,1,0.342,0.085,0.948,0.999,0.076,0.032,1,0.997,0.707,0.322,0.097,0.224,0.031
21/1/30 9:00,0.168,0.322,0.176,0.985,0.673,0.218,1,0.329,0.066,0.947,0.953,0.056,0.029,1,1,0.69,0.249,0.161,0.157,0.057,0.168,0.322,0.176,0.985,0.673,0.218,1,0.329,0.066,0.947,0.953,0.056,0.029,1,1,0.69,0.249,0.161,0.157,0.057
