Date,SQ,CNSW,TAS,GG,SNW,NNSW,SNSW,CNQ,VIC,SA
1/1/30 0:00,2108.49,383.93,667.83,579.5,2842.86,182,416.68,704.61,2598.09,728.79
1/1/30 1:00,2051.06,373.47,649.64,563.71,2765.43,177.05,405.33,685.42,2527.32,708.94
1/1/30 2:00,2030.89,369.8,643.25,558.17,2738.24,175.31,401.34,678.68,2502.47,701.97
1/1/30 3:00,2016.19,367.12,638.6,554.13,2718.41,174.04,398.44,673.77,2484.35,696.89
1/1/30 4:00,2022.5,368.27,640.6,555.87,2726.93,174.58,399.69,675.88,2492.13,699.07
1/1/30 5:00,2045.83,372.52,647.98,562.28,2758.37,176.59,404.3,683.67,2520.87,707.13
1/1/30 6:00,2122.34,386.45,672.22,583.31,2861.54,183.2,419.42,709.24,2615.16,733.58
1/1/30 7:00,2254.37,410.49,714.04,619.59,3039.55,194.6,445.51,753.36,2777.84,779.21
1/1/30 8:00,2542.04,462.87,805.15,698.66,3427.42,219.43,502.36,849.5,3132.31,878.64
1/1/30 9:00,2701.54,491.92,855.67,742.49,3642.47,233.2,533.88,902.8,3328.85,933.78
1/1/30 10:00,2749.27,500.61,870.79,755.61,3706.83,237.32,543.31,918.75,3387.66,950.27
1/1/30 11:00,2826.1,514.6,895.12,776.73,3810.41,243.95,558.49,944.42,3482.33,976.83
1/1/30 12:00,2759.12,502.4,873.91,758.32,3720.11,238.17,545.26,922.04,3399.8,953.68
1/1/30 13:00,2671.67,486.48,846.21,734.28,3602.2,230.62,527.98,892.82,3292.05,923.45
1/1/30 14:00,2655.74,483.58,841.17,729.91,3580.72,229.24,524.83,887.49,3272.41,917.94
1/1/30 15:00,2628.33,478.59,832.49,722.37,3543.77,226.88,519.41,878.34,3238.64,908.47
1/1/30 16:00,2561.21,466.36,811.22,703.92,3453.26,221.08,506.15,855.9,3155.93,885.27
1/1/30 17:00,2458.9,447.74,778.82,675.81,3315.32,212.25,485.93,821.71,3029.87,849.91
1/1/30 18:00,2352.59,428.38,745.15,646.59,3171.99,203.07,464.92,786.19,2898.87,813.16
1/1/30 19:00,2382.46,433.82,754.61,654.8,3212.26,205.65,470.82,796.17,2935.68,823.49
1/1/30 20:00,2308.48,420.35,731.18,634.46,3112.51,199.27,456.2,771.45,2844.52,797.92
1/1/30 21:00,2224.42,405.04,704.55,611.36,2999.17,192.01,439.59,743.36,2740.94,768.86
1/1/30 22:00,2097.79,381.98,664.44,576.56,2828.43,181.08,414.56,701.04,2584.9,725.09
1/1/30 23:00,2118.73,385.79,671.07,582.31,2856.67,182.89,418.7,708.03,2610.7,732.33
2/1/30 0:00,2096.94,381.83,664.17,576.32,2827.29,181.01,414.4,700.75,2583.86,724.8
2/1/30 1:00,2038.36,371.16,645.62,560.22,2748.31,175.95,402.82,681.18,2511.67,704.55
2/1/30 2:00,2019.88,367.8,639.77,555.15,2723.4,174.36,399.17,675,2488.91,698.16
2/1/30 3:00,2005.8,365.23,635.31,551.27,2704.4,173.14,396.38,670.3,2471.55,693.29
2/1/30 4:00,2033.74,370.32,644.16,558.95,2742.08,175.55,401.91,679.63,2505.98,702.95
2/1/30 5:00,2062.3,375.52,653.2,566.8,2780.59,178.02,407.55,689.18,2541.17,712.82
2/1/30 6:00,2151.75,391.81,681.53,591.39,2901.19,185.74,425.23,719.07,2651.39,743.74
2/1/30 7:00,2414.48,439.65,764.75,663.6,3255.43,208.42,477.15,806.87,2975.14,834.56
2/1/30 8:00,2779.83,506.17,880.47,764.01,3748.03,239.95,549.35,928.96,3425.32,960.84
2/1/30 9:00,2998.07,545.91,949.59,823.99,4042.28,258.79,592.48,1001.89,3694.23,1036.27
2/1/30 10:00,3090.91,562.82,979,849.51,4167.45,266.81,610.82,1032.92,3808.63,1068.36
2/1/30 11:00,3147.8,573.17,997.02,865.14,4244.16,271.72,622.07,1051.93,3878.73,1088.02
2/1/30 12:00,3105.54,565.48,983.63,853.53,4187.17,268.07,613.72,1037.81,3826.65,1073.41
2/1/30 13:00,2984.98,543.53,945.45,820.39,4024.64,257.66,589.89,997.52,3678.11,1031.75
2/1/30 14:00,2960.5,539.07,937.7,813.67,3991.63,255.55,585.05,989.34,3647.94,1023.29
2/1/30 15:00,2907.16,529.36,920.8,799,3919.7,250.94,574.51,971.51,3582.21,1004.85
2/1/30 16:00,2860.58,520.88,906.05,786.2,3856.91,246.92,565.31,955.95,3524.82,988.75
2/1/30 17:00,2757.51,502.11,873.4,757.88,3717.93,238.03,544.94,921.5,3397.81,953.12
2/1/30 18:00,2401.94,437.36,760.78,660.15,3238.52,207.33,474.67,802.68,2959.67,830.22
2/1/30 19:00,2355.21,428.85,745.98,647.31,3175.51,203.3,465.44,787.06,2902.1,814.07
2/1/30 20:00,2327.65,423.84,737.25,639.73,3138.36,200.92,459.99,777.85,2868.14,804.54
2/1/30 21:00,2236.89,407.31,708.5,614.79,3015.99,193.09,442.05,747.52,2756.3,773.17
2/1/30 22:00,2147.59,391.05,680.22,590.25,2895.59,185.38,424.41,717.68,2646.27,742.31
2/1/30 23:00,2082.16,379.14,659.49,572.26,2807.36,179.73,411.48,695.82,2565.65,719.69
