Date,SQ,CNSW,TAS,GG,SNW,NNSW,SNSW,CNQ,VIC,SA
21/01/2030 0:00,2192.4,399.21,694.41,602.56,2955.99,189.25,433.26,732.65,2701.48,757.79
21/01/2030 1:00,2119.5,385.93,671.32,582.52,2857.7,182.95,418.85,708.29,2611.65,732.59
21/01/2030 2:00,2119.19,385.88,671.22,582.44,2857.29,182.93,418.79,708.19,2611.27,732.49
21/01/2030 3:00,2141.2,389.89,678.19,588.49,2886.97,184.83,423.14,715.55,2638.4,740.1
21/01/2030 4:00,2143.51,390.31,678.93,589.12,2890.09,185.03,423.6,716.32,2641.24,740.9
21/01/2030 5:00,2235.2,407,707.96,614.32,3013.7,192.94,441.72,746.96,2754.22,772.59
21/01/2030 6:00,2441.35,444.54,773.26,670.98,3291.66,210.74,482.46,815.85,3008.24,843.84
21/01/2030 7:00,2838.88,516.92,899.17,780.24,3827.64,245.05,561.02,948.69,3498.07,981.24
21/01/2030 8:00,3320.46,604.62,1051.71,912.6,4476.96,286.62,656.19,1109.63,4091.49,1147.7
21/01/2030 9:00,3526,642.04,1116.81,969.09,4754.09,304.36,696.81,1178.32,4344.75,1218.75
21/01/2030 10:00,3614.53,658.16,1144.85,993.42,4873.45,312,714.3,1207.9,4453.83,1249.35
21/01/2030 11:00,3715.22,676.49,1176.74,1021.09,5009.21,320.7,734.2,1241.55,4577.9,1284.15
21/01/2030 12:00,3762.64,685.13,1191.76,1034.13,5073.14,324.79,743.57,1257.4,4636.34,1300.54
21/01/2030 13:00,3737.7,680.59,1183.86,1027.27,5039.51,322.64,738.64,1249.06,4605.6,1291.92
21/01/2030 14:00,3529.16,642.62,1117.81,969.96,4758.34,304.63,697.43,1179.37,4348.64,1219.84
21/01/2030 15:00,3405.45,620.09,1078.62,935.96,4591.55,293.96,672.98,1138.03,4196.21,1177.08
21/01/2030 16:00,3217.77,585.92,1019.18,884.37,4338.5,277.76,635.9,1075.31,3964.95,1112.21
