datetime,CNQ,CNSW,GG,NNSW,SA,SNSW,SNW,SQ,TAS,VIC
1/1/25 0:00,574.64,298.3,474.61,169.86,599.32,368.8,2296.26,1628.93,550.87,2051.57
1/1/25 1:00,652.08,338.5,538.57,192.75,680.08,418.49,2605.7,1848.45,625.11,2328.04
1/1/25 2:00,633.21,328.7,522.98,187.18,660.41,406.39,2530.31,1794.97,607.02,2260.68
1/1/25 3:00,627.65,325.82,518.39,185.53,654.61,402.82,2508.1,1779.21,601.69,2240.84
1/1/25 4:00,640.65,332.56,529.13,189.38,668.16,411.16,2560.03,1816.05,614.15,2287.23
1/1/25 5:00,664.91,345.16,549.16,196.55,693.47,426.73,2656.97,1884.82,637.41,2373.84
1/1/25 6:00,725.72,376.73,599.39,214.52,756.9,465.76,2900,2057.22,695.71,2590.98
1/1/25 7:00,864.19,448.61,713.76,255.46,901.31,554.63,3453.32,2449.74,828.45,3085.33
1/1/25 8:00,1053.9,547.09,870.44,311.53,1099.17,676.38,4211.4,2987.51,1010.32,3762.64
1/1/25 9:00,1183.56,614.39,977.53,349.86,1234.39,759.59,4729.49,3355.04,1134.61,4225.52
1/1/25 10:00,1221.71,634.2,1009.04,361.14,1274.18,784.08,4881.95,3463.19,1171.18,4361.73
1/1/25 11:00,1252.45,650.16,1034.43,370.23,1306.25,803.81,5004.8,3550.34,1200.65,4471.49
1/1/25 12:00,1307.19,678.57,1079.64,386.41,1363.34,838.94,5223.55,3705.51,1253.13,4666.93
1/1/25 13:00,1295.65,672.58,1070.11,382.99,1351.3,831.53,5177.42,3672.79,1242.06,4625.72
1/1/25 14:00,1282.53,665.77,1059.28,379.12,1337.62,823.12,5125.02,3635.62,1229.49,4578.9
1/1/25 15:00,1242.57,645.03,1026.27,367.3,1295.94,797.47,4965.32,3522.33,1191.18,4436.22
1/1/25 16:00,1154.7,599.41,953.7,341.33,1204.3,741.07,4614.19,3273.24,1106.94,4122.5
1/1/25 17:00,963.46,500.14,795.74,284.8,1004.84,618.33,3849.98,2731.12,923.61,3439.73
1/1/25 18:00,802.8,416.74,663.05,237.31,837.28,515.22,3207.97,2275.69,769.59,2866.13
1/1/25 19:00,761.41,395.25,628.86,225.07,794.11,488.66,3042.58,2158.36,729.92,2718.36
1/1/25 20:00,671.43,348.54,554.55,198.47,700.27,430.91,2683.02,1903.3,643.66,2397.12
1/1/25 21:00,642.17,333.36,530.39,189.83,669.76,412.14,2566.13,1820.38,615.62,2292.69
1/1/25 22:00,648.71,336.75,535.78,191.76,676.57,416.33,2592.24,1838.9,621.88,2316.01
1/1/25 23:00,596.89,309.85,492.99,176.44,622.53,383.08,2385.17,1692.01,572.2,2131.01
2/1/25 0:00,574.64,298.3,474.61,169.86,599.32,368.8,2296.26,1628.93,550.87,2051.57
2/1/25 1:00,652.08,338.5,538.57,192.75,680.08,418.49,2605.7,1848.45,625.11,2328.04
2/1/25 2:00,633.21,328.7,522.98,187.18,660.41,406.39,2530.31,1794.97,607.02,2260.68
2/1/25 3:00,627.65,325.82,518.39,185.53,654.61,402.82,2508.1,1779.21,601.69,2240.84
2/1/25 4:00,640.65,332.56,529.13,189.38,668.16,411.16,2560.03,1816.05,614.15,2287.23
2/1/25 5:00,664.91,345.16,549.16,196.55,693.47,426.73,2656.97,1884.82,637.41,2373.84
2/1/25 6:00,725.72,376.73,599.39,214.52,756.9,465.76,2900,2057.22,695.71,2590.98
2/1/25 7:00,864.19,448.61,713.76,255.46,901.31,554.63,3453.32,2449.74,828.45,3085.33
2/1/25 8:00,1053.9,547.09,870.44,311.53,1099.17,676.38,4211.4,2987.51,1010.32,3762.64
2/1/25 9:00,1183.56,614.39,977.53,349.86,1234.39,759.59,4729.49,3355.04,1134.61,4225.52
2/1/25 10:00,1221.71,634.2,1009.04,361.14,1274.18,784.08,4881.95,3463.19,1171.18,4361.73
2/1/25 11:00,1252.45,650.16,1034.43,370.23,1306.25,803.81,5004.8,3550.34,1200.65,4471.49
2/1/25 12:00,1307.19,678.57,1079.64,386.41,1363.34,838.94,5223.55,3705.51,1253.13,4666.93
2/1/25 13:00,1295.65,672.58,1070.11,382.99,1351.3,831.53,5177.42,3672.79,1242.06,4625.72
2/1/25 14:00,1282.53,665.77,1059.28,379.12,1337.62,823.12,5125.02,3635.62,1229.49,4578.9
2/1/25 15:00,1242.57,645.03,1026.27,367.3,1295.94,797.47,4965.32,3522.33,1191.18,4436.22
2/1/25 16:00,1154.7,599.41,953.7,341.33,1204.3,741.07,4614.19,3273.24,1106.94,4122.5
2/1/25 17:00,963.46,500.14,795.74,284.8,1004.84,618.33,3849.98,2731.12,923.61,3439.73
2/1/25 18:00,802.8,416.74,663.05,237.31,837.28,515.22,3207.97,2275.69,769.59,2866.13
2/1/25 19:00,761.41,395.25,628.86,225.07,794.11,488.66,3042.58,2158.36,729.92,2718.36
2/1/25 20:00,671.43,348.54,554.55,198.47,700.27,430.91,2683.02,1903.3,643.66,2397.12
2/1/25 21:00,642.17,333.36,530.39,189.83,669.76,412.14,2566.13,1820.38,615.62,2292.69
2/1/25 22:00,648.71,336.75,535.78,191.76,676.57,416.33,2592.24,1838.9,621.88,2316.01
2/1/25 23:00,596.89,309.85,492.99,176.44,622.53,383.08,2385.17,1692.01,572.2,2131.01
3/1/25 0:00,574.64,298.3,474.61,169.86,599.32,368.8,2296.26,1628.93,550.87,2051.57
3/1/25 1:00,652.08,338.5,538.57,192.75,680.08,418.49,2605.7,1848.45,625.11,2328.04
3/1/25 2:00,633.21,328.7,522.98,187.18,660.41,406.39,2530.31,1794.97,607.02,2260.68
3/1/25 3:00,627.65,325.82,518.39,185.53,654.61,402.82,2508.1,1779.21,601.69,2240.84
3/1/25 4:00,640.65,332.56,529.13,189.38,668.16,411.16,2560.03,1816.05,614.15,2287.23
3/1/25 5:00,664.91,345.16,549.16,196.55,693.47,426.73,2656.97,1884.82,637.41,2373.84
3/1/25 6:00,725.72,376.73,599.39,214.52,756.9,465.76,2900,2057.22,695.71,2590.98
3/1/25 7:00,864.19,448.61,713.76,255.46,901.31,554.63,3453.32,2449.74,828.45,3085.33
3/1/25 8:00,1053.9,547.09,870.44,311.53,1099.17,676.38,4211.4,2987.51,1010.32,3762.64
3/1/25 9:00,1183.56,614.39,977.53,349.86,1234.39,759.59,4729.49,3355.04,1134.61,4225.52
3/1/25 10:00,1221.71,634.2,1009.04,361.14,1274.18,784.08,4881.95,3463.19,1171.18,4361.73
3/1/25 11:00,1252.45,650.16,1034.43,370.23,1306.25,803.81,5004.8,3550.34,1200.65,4471.49
3/1/25 12:00,1307.19,678.57,1079.64,386.41,1363.34,838.94,5223.55,3705.51,1253.13,4666.93
3/1/25 13:00,1295.65,672.58,1070.11,382.99,1351.3,831.53,5177.42,3672.79,1242.06,4625.72
3/1/25 14:00,1282.53,665.77,1059.28,379.12,1337.62,823.12,5125.02,3635.62,1229.49,4578.9
3/1/25 15:00,1242.57,645.03,1026.27,367.3,1295.94,797.47,4965.32,3522.33,1191.18,4436.22
3/1/25 16:00,1154.7,599.41,953.7,341.33,1204.3,741.07,4614.19,3273.24,1106.94,4122.5
3/1/25 17:00,963.46,500.14,795.74,284.8,1004.84,618.33,3849.98,2731.12,923.61,3439.73
3/1/25 18:00,802.8,416.74,663.05,237.31,837.28,515.22,3207.97,2275.69,769.59,2866.13
3/1/25 19:00,761.41,395.25,628.86,225.07,794.11,488.66,3042.58,2158.36,729.92,2718.36
3/1/25 20:00,671.43,348.54,554.55,198.47,700.27,430.91,2683.02,1903.3,643.66,2397.12
3/1/25 21:00,642.17,333.36,530.39,189.83,669.76,412.14,2566.13,1820.38,615.62,2292.69
3/1/25 22:00,648.71,336.75,535.78,191.76,676.57,416.33,2592.24,1838.9,621.88,2316.01
3/1/25 23:00,596.89,309.85,492.99,176.44,622.53,383.08,2385.17,1692.01,572.2,2131.01
4/1/25 0:00,574.64,298.3,474.61,169.86,599.32,368.8,2296.26,1628.93,550.87,2051.57
4/1/25 1:00,652.08,338.5,538.57,192.75,680.08,418.49,2605.7,1848.45,625.11,2328.04
4/1/25 2:00,633.21,328.7,522.98,187.18,660.41,406.39,2530.31,1794.97,607.02,2260.68
4/1/25 3:00,627.65,325.82,518.39,185.53,654.61,402.82,2508.1,1779.21,601.69,2240.84
4/1/25 4:00,640.65,332.56,529.13,189.38,668.16,411.16,2560.03,1816.05,614.15,2287.23
4/1/25 5:00,664.91,345.16,549.16,196.55,693.47,426.73,2656.97,1884.82,637.41,2373.84
4/1/25 6:00,725.72,376.73,599.39,214.52,756.9,465.76,2900,2057.22,695.71,2590.98
4/1/25 7:00,864.19,448.61,713.76,255.46,901.31,554.63,3453.32,2449.74,828.45,3085.33
4/1/25 8:00,1053.9,547.09,870.44,311.53,1099.17,676.38,4211.4,2987.51,1010.32,3762.64
