datetime,CNQ,CNSW,GG,NNSW,SA,SNSW,SNW,SQ,TAS,VIC
1/1/25 0:00,1675.16,605.95,1096.09,485.34,1875.51,780.21,4941.76,3824.54,1068.53,4389.11
1/1/25 1:00,1639.95,586.26,1098.15,427.37,1763.3,748.48,4653.35,3667.76,1059.61,4163.05
1/1/25 2:00,1604.69,565.46,1095.83,379.92,1690.15,717.52,4435.72,3505.28,1046.07,3924.69
1/1/25 3:00,1586.08,559.6,1091.97,366.04,1651.21,704.24,4343.45,3432.3,1039.15,3785.65
1/1/25 4:00,1582.54,566.6,1094.16,369.61,1619.42,700.65,4316.7,3414.92,1047.39,3759.2
1/1/25 5:00,1537.54,522.61,1091.79,350.92,1610.54,643.47,4233.71,3311.64,1060.33,3824.19
1/1/25 6:00,1399.93,465.67,1084.96,276.74,1537.49,558.41,3995.25,2996.33,1075.9,3897.01
1/1/25 7:00,1273.51,415.79,1072.21,197.54,1551.96,494.59,3726.42,2624.12,1103.33,3922
1/1/25 8:00,1155.94,367.64,1062.35,143.93,1410.74,440.19,3561.35,2178.27,1147.25,4050.61
1/1/25 9:00,1063.12,319.1,1055.99,73.41,1406.79,398.89,3359.34,1731.55,1180.83,4105.86
1/1/25 10:00,991.14,293.67,1052.36,9.5,1436.93,366.97,3141.45,1385.78,1196,3947.21
1/1/25 11:00,976.04,306.14,1050.01,2.57,1597.74,392.17,3272.12,1216.8,1168.96,4116.78
1/1/25 12:00,1005.53,384.89,1047.66,88.55,1519.23,484.08,3795.65,1256.48,1130.54,4195.27
1/1/25 13:00,1069.04,458.96,1054.07,177.49,1571.82,558.76,4230.33,1493.84,1062.91,4254.57
1/1/25 14:00,1189.49,551.05,1063.31,303.71,1569.08,665.57,4738.75,1968.07,1052.43,4375.59
1/1/25 15:00,1351.46,638,1073.5,427.86,1716.2,767.93,5120.55,2634.21,1110.97,4518.19
1/1/25 16:00,1559.33,700.7,1085.74,514.9,1857.27,844.56,5376.59,3441.39,1182.68,4725.88
1/1/25 17:00,1749.92,713.58,1097.52,561.27,1904.59,873.22,5480.68,4200.01,1206.06,4761.91
1/1/25 18:00,1828.75,722.37,1107.03,570.72,1863,880.68,5491.43,4510.1,1192.06,4685.79
1/1/25 19:00,1886.55,739.11,1111.08,578.2,1821.74,886.11,5606.69,4604.77,1179.64,4650.7
1/1/25 20:00,1864.53,715.82,1105.73,561.5,1806.65,877.31,5512.72,4486.86,1164.29,4596.47
1/1/25 21:00,1842.02,712.74,1102.62,550.62,1734.86,872.41,5393.82,4438.87,1121.7,4387.66
1/1/25 22:00,1822.49,700.59,1097.87,540.82,1638.24,862.17,5262.42,4150.45,1091.05,4284.03
1/1/25 23:00,1758.01,669.17,1096.09,523.41,1685.01,837.06,5048.38,3929.79,1075.18,4642.27
2/1/25 0:00,1654.17,630.79,1092.91,485.95,1654.35,804.46,4821.08,3683.2,1070.89,4339.28
2/1/25 1:00,1583.76,609.05,1088.42,420.6,1496.48,761,4495.59,3488.98,1062.79,4050.08
2/1/25 2:00,1557.24,585.11,1089.83,374.86,1437.3,726.71,4331.87,3398.8,1059.96,3885.81
2/1/25 3:00,1536.77,602.33,1090.82,367.02,1413.64,716.81,4320.35,3357.72,1064.48,3834.71
2/1/25 4:00,1533.79,612.25,1092.27,386.04,1429.16,728.93,4472.33,3374.44,1069.54,3939.78
2/1/25 5:00,1501.53,591.2,1089.38,411.94,1466.04,733.25,4734.81,3380.75,1089.09,4083.91
