Index,SQ,CNSW,TAS,GG,SNW,NNSW,SNSW,CNQ,VIC,SA
21/01/2030 0:00,4576.6,830.49,1224.31,1121.28,5284.26,431.65,924.15,1578.14,4806.2,1801.1
21/01/2030 1:00,4448.49,820.69,1219.94,1110.73,5038.69,385.87,895.8,1536.01,4570.09,1669.08
21/01/2030 2:00,4353.97,835.83,1218.23,1113.03,4843.44,382.25,879.47,1508.2,4391.15,1613.95
21/01/2030 3:00,4309.31,846.24,1216.56,1115.53,4896.97,373.49,879.04,1492.6,4397.45,1583.2
21/01/2030 4:00,4353.22,861.4,1233.54,1114.08,5143.08,396.11,909.02,1494.15,4575.92,1573.78
21/01/2030 5:00,4547.63,873.17,1296.55,1111.4,5722.55,450.03,988.97,1528.51,5053.82,1650.03
21/01/2030 6:00,4537.81,832.38,1347.22,1099.82,6081.81,446.16,957.03,1440.21,5132.49,1713.51
21/01/2030 7:00,4217.44,759.18,1310.32,1095.39,5899.05,398.81,831.86,1272.7,4583.33,1582.22
21/01/2030 8:00,3738.69,684.82,1213.76,1077.14,5679.94,348.85,709.84,1130.56,3627.58,1317.7
21/01/2030 9:00,3124.92,590.34,1150.1,1061.12,5392.65,279.28,628.28,931.5,2351.28,600.46
21/01/2030 10:00,2722.64,545.69,1103.74,1056.18,5200.7,236.77,610.56,850.3,1608.85,264.41
21/01/2030 11:00,2541.85,540.55,1085.41,1044.95,5094.43,239.12,632.23,795.84,1408.05,131.58
21/01/2030 12:00,2664.86,515.54,1092.65,1044.15,4955.95,235.66,662.87,766.72,1497.7,130.69
21/01/2030 13:00,3139.47,560.18,1106.06,1038.97,5245.95,290.31,776.59,843.99,1896.26,227
21/01/2030 14:00,3600.26,607.61,1167.52,1048.09,5380.31,327.43,877.26,939,2634.81,448.7
21/01/2030 15:00,4323.06,662.16,1250.62,1064.47,5660.14,381.89,991.19,1120.75,3701.61,812.63
21/01/2030 16:00,5336.64,778.09,1346.05,1089.19,6205.08,483.22,1189.83,1421.76,5038.96,1323.43
21/01/2030 17:00,6203.82,892.46,1431.23,1106.45,6588.11,583.56,1346.19,1701.1,6093.64,1891.8
21/01/2030 18:00,6630.29,995.48,1476.62,1121.17,6990.23,651.66,1495.79,1927.03,6872.64,2470.11
21/01/2030 19:00,6727.46,1044.95,1471.16,1128.81,7206.59,668.75,1517.9,2016.68,7024.23,2767.65
21/01/2030 20:00,6432.55,1035.48,1447.34,1120.11,7007.92,635.28,1434.94,1942.87,6686.62,2672.23
21/01/2030 21:00,5979.68,1014.49,1407.41,1111.6,6627.92,607.63,1303.12,1845.51,6111.02,2480.67
21/01/2030 22:00,5508.34,972.45,1334.18,1103.92,6164.09,555.22,1188.12,1712.36,5507.66,2233.52
21/01/2030 23:00,4986.67,940.13,1288.07,1117.72,5750.22,525.28,1094.65,1636.22,5438.03,2106.99
22/01/2030 0:00,4617.38,913.11,1248.54,1111.25,5483.48,482.49,1048.75,1619.05,5104.47,2024.55
22/01/2030 1:00,4480.38,887.42,1214.36,1113.58,5165.15,413.44,1008.91,1573.98,4820.33,1895.31
22/01/2030 2:00,4312.87,860.11,1209.78,1117.59,4983.25,388.83,974.01,1536.31,4644.29,1814.49
