name,carrier,Region,bus,REZ Location,Fuel/Technology type,p_nom,Summer Rating (MW),Not Summer Rating (MW),Energy (MWh),max_hours,Maintenance duration (%),Maximum Capacity Factor (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat Rate (GJ/MWh HHV s.o.),Fuel Cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary Load (%),marginal_cost,expected_retirement_year,start_up_cost,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,q_set,sign,build_year,lifetime,capital_cost,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge,cyclic_state_of_charge_per_period,efficiency_store,efficiency_dispatch,standing_loss,inflow,p,p_dispatch,p_store,q,state_of_charge,spill,p_nom_opt,mu_upper,mu_lower,mu_state_of_charge_set,mu_energy_balance
2030 1 Hr Battery CNQ,Battery_Storage,QLD,CNQ,N/A,N/A,0,0,0,0,1,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,479094,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
2030 1 Hr Battery GG,Battery_Storage,QLD,GG,N/A,N/A,0,0,0,0,1,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,479094,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
2030 1 Hr Battery SQ,Battery_Storage,QLD,SQ,N/A,N/A,0,0,0,0,1,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,479094,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
2030 1 Hr Battery NNSW,Battery_Storage,NSW,NNSW,N/A,N/A,0,0,0,0,1,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,479094,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
2030 1 Hr Battery CNSW,Battery_Storage,NSW,CNSW,N/A,N/A,0,0,0,0,1,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,479094,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
2030 1 Hr Battery SNW,Battery_Storage,NSW,SNW,N/A,N/A,0,0,0,0,1,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,479094,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
2030 1 Hr Battery SNSW,Battery_Storage,NSW,SNSW,N/A,N/A,0,0,0,0,1,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,479094,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
2030 1 Hr Battery VIC,Battery_Storage,VIC,VIC,N/A,N/A,0,0,0,0,1,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,479094,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
2030 1 Hr Battery SA,Battery_Storage,SA,SA,N/A,N/A,0,0,0,0,1,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,479094,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
2030 1 Hr Battery TAS,Battery_Storage,TAS,TAS,N/A,N/A,0,0,0,0,1,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,479094,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
2030 2 Hr Battery CNQ,Battery_Storage,QLD,CNQ,N/A,N/A,0,0,0,0,2,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,576572,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
2030 2 Hr Battery GG,Battery_Storage,QLD,GG,N/A,N/A,0,0,0,0,2,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,576572,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
2030 2 Hr Battery SQ,Battery_Storage,QLD,SQ,N/A,N/A,0,0,0,0,2,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,576572,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
2030 2 Hr Battery NNSW,Battery_Storage,NSW,NNSW,N/A,N/A,0,0,0,0,2,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,576572,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
2030 2 Hr Battery CNSW,Battery_Storage,NSW,CNSW,N/A,N/A,0,0,0,0,2,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,576572,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
2030 2 Hr Battery SNW,Battery_Storage,NSW,SNW,N/A,N/A,0,0,0,0,2,0,N/A,10.69,0,0,0,0,1,0,1,2100,0,PQ,,TRUE,0,inf,0,1,0,0,1,2030,30,576572,0,FALSE,NaN,FALSE,FALSE,0.9,0.9,0,0,0,0,0,0,NaN,0,0,0,0,0,0
