name,carrier,Region,bus,REZ Location,Fuel/Technology type,p_nom,Summer Rating (MW),Not Summer Rating (MW),Maintenance duration (%),Maximum Capacity Factor (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat Rate (GJ/MWh HHV s.o.),Fuel Cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary Load (%),marginal_cost,expected_retirement_year,min_output,p_min_pu,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_max_pu,p_set,q_set,sign,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p,q,p_nom_iot,status,mu_upper,mu_lower,mu_p_set,mu_ramp_limit_up,mu_ramp_limit_down
Bayswater 1,Coal,NSW,CNSW,N/A,Black Coal NSW,672.5,655,685,5.479,75,56.743,4.488,9.449,1.723,889.376,0.962,5.46,20.772,2033,250,0.3717,PQ,,FALSE,0,inf,1,0,0,1,2000,33,0,1,TRUE,26900,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Bayswater 2,Coal,NSW,CNSW,N/A,Black Coal NSW,672.5,655,685,5.479,75,56.743,4.488,9.449,1.723,889.376,0.962,5.46,20.772,2033,250,0.3717,PQ,,FALSE,0,inf,1,0,0,1,2000,33,0,1,TRUE,26900,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Bayswater 3,Coal,NSW,CNSW,N/A,Black Coal NSW,672.5,655,685,5.479,75,56.743,4.488,9.449,1.723,889.376,0.962,5.46,20.772,2033,250,0.3717,PQ,,FALSE,0,inf,1,0,0,1,2000,33,0,1,TRUE,26900,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Bayswater 4,Coal,NSW,CNSW,N/A,Black Coal NSW,672.5,655,685,5.479,75,56.743,4.488,9.449,1.723,889.376,0.962,5.46,20.772,2033,250,0.3717,PQ,,FALSE,0,inf,1,0,0,1,2000,33,0,1,TRUE,26900,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Callide B 1,Coal,QLD,CNQ,N/A,Black Coal QLD,350,350,350,5.479,N/A,55.836,4.419,9.16,2.05,946.715,0.925,6.67,23.195,2028,155,0.442857143,PQ,,FALSE,0,inf,1,0,0,1,2000,28,0,1,TRUE,14000,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Callide B 2,Coal,QLD,CNQ,N/A,Black Coal QLD,350,350,350,5.479,N/A,55.836,4.419,9.16,2.05,946.715,0.925,6.67,23.195,2028,155,0.442857143,PQ,,FALSE,0,inf,1,0,0,1,2000,28,0,1,TRUE,14000,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Callide C 1,Coal,QLD,CNQ,N/A,Black Coal QLD,420,427,443,5.479,N/A,55.836,4.419,9.302,2.05,910.606,0.927,6.67,23.486,2051,180,0.428571429,PQ,,FALSE,0,inf,1,0,0,1,2000,51,0,1,TRUE,16800,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Callide C 2,Coal,QLD,CNQ,N/A,Black Coal QLD,420,427,443,5.479,N/A,55.836,4.419,9.302,2.05,910.606,0.927,6.67,23.486,2051,180,0.428571429,PQ,,FALSE,0,inf,1,0,0,1,2000,51,0,1,TRUE,16800,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Eraring 1,Coal,NSW,SNW,N/A,Black Coal NSW,720,668.5,688.5,5.479,75,56.743,4.488,9.549,3.103,888.231,0.985,5.46,34.118,2025,210,0.2917,PQ,,FALSE,0,inf,1,0,0,1,2000,25,0,1,TRUE,28800,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Eraring 2,Coal,NSW,SNW,N/A,Black Coal NSW,720,668.5,688.5,5.479,75,56.743,4.488,9.549,3.103,888.231,0.985,5.46,34.118,2025,210,0.2917,PQ,,FALSE,0,inf,1,0,0,1,2000,25,0,1,TRUE,28800,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
