name,carrier,Region,bus,REZ Location,Fuel/Technology type,p_nom,Summer Rating (MW),Not Summer Rating (MW),Energy (MWh),max_hours,Maintenance duration (%),Maximum Capacity Factor (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat Rate (GJ/MWh HHV s.o.),Fuel Cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary Load (%),marginal_cost,expected_retirement_year,start_up_cost,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,q_set,sign,build_year,lifetime,capital_cost,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge,cyclic_state_of_charge_per_period,efficiency_store,efficiency_dispatch,standing_loss,inflow,p,p_dispatch,p_store,q,state_of_charge,spill,p_nom_opt,mu_upper,mu_lower,mu_state_of_charge_set,mu_energy_balance
Wallgrove Grid Battery project,Battery Storage,NSW,SNW,N/A,N/A,50,50,50,75,1.5,0,N/A,10.69,0,0,0,0,1,0,2,2036,0,PQ,,FALSE,0,inf,0,1,0,0,1,0,inf,0,0,FALSE,NaN,FALSE,FALSE,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Wandoan South BESS,Battery Storage,QLD,SQ,N/A,N/A,100,100,100,150,1.5,0,N/A,10.69,0,0,0,0,1,0,2,2051,0,PQ,,FALSE,0,inf,0,1,0,0,1,0,inf,0,0,FALSE,NaN,FALSE,FALSE,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Adelaide Desalination Plant BESS,Battery Storage,SA,SA,N/A,N/A,6,0,6,13,2.01,0,N/A,10.69,0,0,0,0,1,0,2,2043,0,PQ,,FALSE,0,inf,0,1,0,0,1,0,inf,0,0,FALSE,NaN,FALSE,FALSE,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Bolivar Waste Water Treatment BESS,Battery Storage,SA,SA,N/A,N/A,2,2,2,5,2.52,0,N/A,10.69,0,0,0,0,1,0,2,2043,0,PQ,,FALSE,0,inf,0,1,0,0,1,0,inf,0,0,FALSE,NaN,FALSE,FALSE,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Christies Beach Wastewater Treatment Plant BESS,Battery Storage,SA,SA,N/A,N/A,2,2,2,4,2.16,0,N/A,10.69,0,0,0,0,1,0,2,2043,0,PQ,,FALSE,0,inf,0,1,0,0,1,0,inf,0,0,FALSE,NaN,FALSE,FALSE,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Dalrymple North BESS,Battery Storage,SA,SA,N/A,N/A,30,30,30,8,0.27,0,N/A,6.6,0,0,0,0,1,0,2,2030,0,PQ,,FALSE,0,inf,0,1,0,0,1,0,inf,0,0,FALSE,NaN,FALSE,FALSE,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Happy Valley Reservoir BESS,Battery Storage,SA,SA,N/A,N/A,4,4,4,9,2.21,0,N/A,10.69,0,0,0,0,1,0,2,2043,0,PQ,,FALSE,0,inf,0,1,0,0,1,0,inf,0,0,FALSE,NaN,FALSE,FALSE,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Hornsdale Power Reserve Unit 1,Battery Storage,SA,SA,N/A,N/A,150,150,150,178,1.19,0,N/A,6.6,0,0,0,0,1,0,2,2057,0,PQ,,FALSE,0,inf,0,1,0,0,1,0,inf,0,0,FALSE,NaN,FALSE,FALSE,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Lake Bonney BESS1,Battery Storage,SA,SA,N/A,N/A,25,25,25,52,2.08,0,N/A,10.69,0,0,0,0,1,0,2,2034,0,PQ,,FALSE,0,inf,0,1,0,0,1,0,inf,0,0,FALSE,NaN,FALSE,FALSE,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Lincoln Gap Wind Farm - BESS,Battery Storage,SA,SA,N/A,N/A,10,10,10,10,1,0,N/A,6.6,0,0,0,0,1,0,2,2045,0,PQ,,FALSE,0,inf,0,1,0,0,1,0,inf,0,0,FALSE,NaN,FALSE,FALSE,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Torrens Island BESS,Battery Storage,SA,SA,N/A,N/A,250,250,250,250,1,0,N/A,6.6,0,0,0,0,1,0,2,2043,0,PQ,,FALSE,0,inf,0,1,0,0,1,0,inf,0,0,FALSE,NaN,FALSE,FALSE,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Ballarat Energy Storage System,Battery Storage,VIC,VIC,N/A,N/A,30,29,30,30,1,0,N/A,6.6,0,0,0,0,1,0,2,2033,0,PQ,,FALSE,0,inf,0,1,0,0,1,0,inf,0,0,FALSE,NaN,FALSE,FALSE,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Bulgana Green Power Hub - BESS,Battery Storage,VIC,VIC,N/A,N/A,20,20,20,34,1.7,0,N/A,10.69,0,0,0,0,1,0,2,2041,0,PQ,,FALSE,0,inf,0,1,0,0,1,0,inf,0,0,FALSE,NaN,FALSE,FALSE,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Gannawarra Energy Storage System,Battery Storage,VIC,VIC,N/A,N/A,25,25,25,50,1.97,0,N/A,10.69,0,0,0,0,1,0,2,2033,0,PQ,,FALSE,0,inf,0,1,0,0,1,0,inf,0,0,FALSE,NaN,FALSE,FALSE,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Victorian Big Battery,Battery Storage,VIC,VIC,N/A,N/A,300,50,300,450,1.5,0,N/A,10.69,0,0,0,0,1,0,2,2041,0,PQ,,FALSE,0,inf,0,1,0,0,1,0,inf,0,0,FALSE,NaN,FALSE,FALSE,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0
